,Tweets,longitud,ID,fecha,fuente,likes,rts
0,"Seguimos en directo antes de volar a Berlin a TwitchCon.

https://t.co/k6WTTWZrn6",81,1116059775593328640,2019-04-10 19:26:00,Twitter Web Client,16,3
1,"Con DG88 en la Tormenta de Fuego del Quinto Campo de Batalla de Dado y Artes Electronicos.

https://t.co/k6WTTWZrn6",115,1116042030940135425,2019-04-10 18:15:29,Twitter Web Client,31,6
2,@Lopez74Jara @NVIDIAGeForceES @futurexpe Uff... Luce bestial! Disfrutala tio!,77,1116033048980676610,2019-04-10 17:39:48,Twitter Web Client,4,0
3,"RT @Lopez74Jara: Ya tengo esta bestia en casa!,me ha costado un poco domarla pero ya come de mi mano 😁 ..muchisimas gracias! @NVIDIAGeForce…",140,1116032960048902146,2019-04-10 17:39:27,Twitter Web Client,0,18
4,"@jlvillabriga Me coge un poco lejos, la verdad... Una pena, porque estoy ya de la comida inglesa hasta los bemoles!",115,1115947855976574976,2019-04-10 12:01:16,Twitter Web Client,2,0
5,Han abierto un supermercado cerca de mi casa y estaba curioseando cuando... Marca Espuña... Tapas Essentials... Spa… https://t.co/kPEY2ic69R,140,1115938621201289216,2019-04-10 11:24:35,Twitter for Android,124,5
6,@StreamGameOVER Animo crack y a recuperarse ;),46,1115928247840190464,2019-04-10 10:43:21,Twitter for Android,1,0
7,RT @LI3PeO: https://t.co/Mt539SJCOH,35,1115922420261629953,2019-04-10 10:20:12,Twitter for Android,0,25239
8,@ErikBusellato @RouzXIII @CooLifeGame https://t.co/HXzca1sm87,61,1115780222564143106,2019-04-10 00:55:09,Twitter Web Client,1,0
9,@RouzXIII @aitorgval https://t.co/jW8NAxg7aM,44,1115779910470197248,2019-04-10 00:53:55,Twitter Web Client,2,0
10,@Elf4rw3N Muchas gracias matriculilla ;D,40,1115779527404339201,2019-04-10 00:52:24,Twitter Web Client,2,0
11,@RouzXIII https://t.co/jRECLGw1KN,33,1115647104448380928,2019-04-09 16:06:12,Twitter Web Client,15,0
12,"RT @RouzXIII: Otro encargo más para el majo de @madapls! 
Un diseño muy minimalista pero con personalidad como él me pidió :) 
Espero que o…",140,1115646835358617602,2019-04-09 16:05:07,Twitter Web Client,0,16
13,"@DjCronoxx Su casa, sus normas.",31,1115616604375666688,2019-04-09 14:05:00,Twitter Web Client,1,0
14,@PapiLego https://t.co/ay5OUJsU59,33,1115604648449044481,2019-04-09 13:17:29,Twitter Web Client,3,0
15,"RT @madapls: 📢 ANUNCIACO 📢

¡Hoy es un dia importante para mi!

Llevo mas de un año teniendo problemas por mi nick. En realidad mucho mas,…",139,1115603969756131329,2019-04-09 13:14:47,Twitter Web Client,0,45
16,@TheVikingCat No me tientes que ultimamente parezco un cubo de basura. Me trago lo que me eches 😄,97,1115597260891377667,2019-04-09 12:48:08,Twitter Web Client,1,0
17,@TheVikingCat Me gusta mucho leer este tipo de comentarios. Muchas gracias por estar al otro lado ;),100,1115590982098194432,2019-04-09 12:23:11,Twitter Web Client,2,0
18,"@F_deFIFA Hostia, es verdad... Que putada. Puede cambiartelo a FdePayRespects. No, eso ha sido cruel 😄 Pero vamos,… https://t.co/B6I2aZ62Xu",139,1115590764992651264,2019-04-09 12:22:19,Twitter Web Client,4,1
19,"@Carlos_MM97 Si iMadafaca era una broma a la que ya me costaba encontrarle la gracia, iMedefeco es otra que la perdio hace mucho mas... 😄",137,1115586904601264128,2019-04-09 12:06:59,Twitter for Android,2,0
20,@MrxSoki Hahaha Gracias Soki 😄,30,1115586248058523648,2019-04-09 12:04:22,Twitter for Android,1,0
21,"Muchisimas gracias a todos por los mensajes que me estais escribiendo. Que no se entere nadie, pero sois la puta ho… https://t.co/lBAnj6M0YU",140,1115585027218317312,2019-04-09 11:59:31,Twitter for Android,184,6
22,@LazaPLAYS Alguien con nombre de magia de Final Fantasy no puede ofenderme... 😄,79,1115584173467668486,2019-04-09 11:56:08,Twitter for Android,8,0
23,@educas0 😆,10,1115583656083562498,2019-04-09 11:54:04,Twitter for Android,1,0
24,@cristianY2J Muchas gracias por tus palabras ;),47,1115583588874051584,2019-04-09 11:53:48,Twitter for Android,2,0
25,"@80mp3 Dios, no... Espero que no me confundan 😄",47,1115412143376142336,2019-04-09 00:32:32,Twitter for Android,3,0
26,@SefirotKS ez ke ez azi Keppo,29,1115411978082816000,2019-04-09 00:31:53,Twitter for Android,3,0
27,"RT @DaemonOrtiz: @madapls Aunque cambies el nick, seguirás siendo nuestro Mada y esteramos ahí para verte ^^",108,1115411790639370241,2019-04-09 00:31:08,Twitter for Android,0,2
